history_suc_rate,trans_fail_top_count_enum_last_1_month,loans_score,apply_score,loans_overdue_count,latest_one_month_suc_rate,max_cumulative_consume_later_1_month,loans_latest_day,trans_amount_3_month,avg_price_last_12_month,latest_query_day,repayment_capability,abs,trans_amount_increase_rate_lately,consfin_avg_limit,historical_trans_amount,first_transaction_day,avg_amount_perday,trans_fail_top_count_enum_last_12_month,first_transaction_time,trans_day_last_12_month,loans_avg_limit,trans_fail_top_count_enum_last_6_month,avg_amount_once,pawns_auctions_trusts_consume_last_6_month,trans_days_interval_filter,trans_activity_day,consfin_credit_limit,loans_long_time,loans_max_limit,loans_count,trans_top_time_last_6_month,consfin_max_limit,trans_days_interval,loans_settle_count,apply_credibility,trans_top_time_last_1_month,rank_trad_1_month,consume_top_time_last_6_month,avg_six_month_loan,loans_credit_limit,query_sum_count,consume_top_time_last_1_month,trans_activity_month,transd_mcc,take_amount_in_later_12_month_highest,avg_three_month_apply,avg_three_month_loan,avg_six_month_apply,status
0.8409090909090909,1.0,552.0,583.0,2.0,1.0,2170,18.0,34030,1020,12.0,19890,3920,0.9,1200.0,149050,1738.0,987.0860927152318,2.0,20130817.0,85.0,1688.0,2.0,4968.333333333333,18040,27.0,0.313,1200.0,341.0,2900.0,37.0,19.0,1200.0,26.0,34.0,79.0,4.0,0.4,19.0,2.1666666666666665,2200.0,10.0,4.0,0.55,17.0,0,1.6666666666666667,0.3333333333333333,1.3333333333333333,1
0.9245283018867925,0.0,635.0,653.0,0.0,0.6666666666666666,2100,2.0,10590,1210,4.0,16970,6950,1.28,9360.0,302910,779.0,1352.2767857142858,3.0,20160402.0,84.0,1758.0,3.0,13170.0,15680,30.0,0.458,15100.0,353.0,3500.0,37.0,30.0,22800.0,14.0,36.0,73.0,13.0,0.35,30.0,1.3333333333333333,2000.0,8.0,13.0,1.0,19.0,2000,2.0,0.6666666666666666,1.3333333333333333,0
0.5,3.0,633.0,654.0,0.0,0.5,0,6.0,5710,570,2.0,9710,840,1.0,4200.0,11520,338.0,371.61290322580646,6.0,20170617.0,95.0,1250.0,6.0,1280.0,0,68.0,0.114,4200.0,157.0,1600.0,4.0,68.0,4200.0,22.0,2.0,76.0,0.0,1.0,68.0,0.6666666666666666,1500.0,16.0,0.0,1.0,13.0,0,1.6666666666666667,0.6666666666666666,2.3333333333333335,1
0.7777777777777778,1.0,542.0,595.0,4.0,1.0,8140,4.0,91690,1290,2.0,6210,46850,0.13,12180.0,491130,1831.0,1364.25,8.0,20130516.0,82.0,1541.0,8.0,14882.727272727272,27970,14.0,0.777,16300.0,355.0,3200.0,85.0,8.0,30000.0,6.0,81.0,79.0,6.0,0.15,8.0,5.666666666666667,1800.0,22.0,6.0,0.57,22.0,2000,5.333333333333333,1.3333333333333333,2.8333333333333335,0
0.5901639344262295,3.0,479.0,541.0,6.0,0.0,1000,120.0,9770,1110,22.0,11150,760,0.46,8250.0,61470,435.0,975.7142857142857,3.0,20170312.0,88.0,1630.0,3.0,5122.5,6410,66.0,0.175,8300.0,360.0,2300.0,37.0,66.0,8400.0,42.0,32.0,75.0,0.0,0.65,66.0,1.6666666666666667,1800.0,14.0,0.0,1.0,13.0,0,2.6666666666666665,0.0,1.5,1
0.8666666666666667,0.0,676.0,682.0,0.0,1.0,2560,4.0,78890,1160,3.0,8420,22770,7.59,8130.0,416670,608.0,1314.416403785489,3.0,20160920.0,82.0,1941.0,3.0,23148.333333333332,31400,8.0,0.733,11200.0,360.0,5300.0,60.0,7.0,20400.0,11.0,55.0,79.0,4.0,0.2,12.0,4.166666666666667,2600.0,19.0,4.0,1.0,27.0,2000,2.6666666666666665,0.3333333333333333,2.1666666666666665,0
0.6,0.0,612.0,626.0,0.0,0.3333333333333333,0,3.0,3080,1250,1.0,11220,110,23.67,8900.0,34140,555.0,682.8,1.0,20161112.0,98.0,2200.0,1.0,2276.0,4390,54.0,0.087,7600.0,312.0,2200.0,7.0,54.0,16800.0,53.0,4.0,77.0,0.0,1.0,54.0,0.5,2200.0,13.0,0.0,0.94,10.0,0,1.6666666666666667,1.0,1.1666666666666667,0
0.29333333333333333,0.0,451.0,491.0,11.0,0.0,1750,7.0,21760,860,24.0,69800,99950,0.31,7987.0,172290,1188.0,680.9881422924901,1.0,20150218.0,83.0,4750.0,1.0,6153.214285714285,6750,21.0,0.472,5500.0,316.0,5300.0,24.0,10.0,19200.0,14.0,11.0,80.0,10.0,0.35,10.0,2.6666666666666665,4700.0,13.0,10.0,0.76,15.0,0,2.6666666666666665,3.3333333333333335,1.6666666666666667,0
0.8125,0.0,589.0,619.0,0.0,0.0,500,142.0,6640,1110,18.0,12510,110,0.8,0.0,37250,501.0,846.5909090909091,5.0,20170105.0,95.0,1520.0,2.0,2660.714285714286,6160,36.0,0.08800000000000001,0.0,312.0,2800.0,13.0,36.0,0.0,35.0,12.0,79.0,0.0,0.75,36.0,1.0,1900.0,8.0,0.0,1.0,15.0,500,2.3333333333333335,0.0,1.1666666666666667,1
0.36666666666666664,1.0,501.0,546.0,3.0,1.0,290,9.0,3420,1310,12.0,15010,3690,2.48,7757.0,244020,1011.0,1402.4137931034484,7.0,20150814.0,83.0,1325.0,3.0,8414.48275862069,1400,29.0,0.322,9900.0,319.0,1800.0,19.0,29.0,20400.0,21.0,10.0,72.0,2.0,0.75,46.0,1.0,1500.0,6.0,3.0,0.94,16.0,0,1.6666666666666667,0.3333333333333333,0.8333333333333334,1
